source,target,weight
108,129,288
108,140,207
108,157,22
108,183,1
108,184,4
108,194,1594
108,195,1046
108,196,1254
109,119,6
109,121,18
109,122,36
109,125,4075
109,126,637
109,127,679
109,129,633
109,133,401
109,137,971
109,146,225
109,152,716
109,166,13
109,168,718
109,169,2450
109,194,3258
109,195,1266
109,196,3331
109,198,1664
110,134,188
110,135,172
110,138,1986
110,141,213
110,143,81
110,151,211
110,164,934
110,171,136
110,175,33
110,183,699
110,194,173
110,195,106
110,196,159
111,113,56
111,119,68
111,122,26
111,126,1255
111,127,2274
111,129,1255
111,194,70
111,195,29
111,196,971
112,118,30
112,119,159
112,121,32
112,126,3556
112,127,3546
112,128,5094
112,129,3546
112,135,4
112,136,360
112,138,54
112,139,43
112,140,123
112,142,466
112,143,46
112,146,186
112,149,244
112,153,466
112,160,29
112,162,30
112,168,119
112,171,53
112,173,58
112,180,16
112,182,5
112,186,10
112,187,423
112,188,75
112,193,15
112,194,104
112,195,269
112,196,479
112,197,1664
112,206,832
113,116,13
113,128,1019
113,140,11
113,145,89
113,148,112
113,149,79
113,155,4
113,157,112
113,159,99
113,167,911
113,169,7
113,173,2
113,174,15
113,175,81
113,178,70
113,182,6
113,186,5
113,189,114
113,191,214
113,194,1594
113,195,343
113,196,681
113,199,1664
113,205,1664
114,117,74
114,119,7
114,125,1019
114,146,56
114,160,5
114,199,1664
115,124,17
115,125,1019
115,140,276
115,144,56
115,179,136
115,185,272
115,194,70
115,195,869
115,196,167
115,199,832
116,117,2
116,125,1241
116,128,1765
116,133,85
116,135,4
116,140,11
116,143,195
116,146,340
116,149,383
116,150,338
116,158,4
116,162,612
116,164,108
116,165,5
116,166,17
116,168,216
116,170,13
116,173,247
116,177,68
116,182,198
116,185,235
116,186,721
116,187,799
116,188,80
116,189,111
116,194,35
116,195,938
116,196,424
116,200,104
117,119,3
117,125,3056
117,126,5
117,127,1019
117,128,1029
117,134,213
117,135,132
117,137,213
117,139,3
117,140,2
117,143,38
117,146,415
117,155,2
117,156,13
117,160,197
117,161,3
117,162,450
117,173,134
117,182,11
117,186,26
117,194,104
117,195,35
117,196,588
117,200,1
118,125,99
118,128,381
118,131,4
118,139,113
118,147,19
118,150,34
118,164,78
118,171,37
118,173,10
118,175,398
118,186,544
118,212,189
119,135,5
119,136,1
119,139,15
119,143,198
119,153,2
119,157,1
119,158,4
119,159,150
119,162,1
119,168,56
119,182,13
119,186,618
119,194,35
119,195,36
119,196,37
119,197,832
120,129,198
120,134,205
120,146,3
120,163,56
120,179,5
120,184,35
120,186,6
120,187,29
120,194,104
120,196,116
121,122,74
121,123,60
121,127,30
121,128,1009
121,129,2
121,131,212
121,135,1016
121,137,321
121,140,109
121,146,56
121,147,15
121,148,408
121,151,51
121,153,7
121,159,180
121,163,56
121,164,72
121,167,293
121,168,1
121,170,202
121,173,289
121,174,763
121,185,180
121,187,937
121,188,902
121,194,1663
121,195,109
121,196,6
121,206,832
122,128,626
122,150,14
122,152,210
122,156,451
122,157,4
122,159,79
122,168,56
122,184,2
122,186,24
122,188,6
122,194,3223
122,195,2851
122,196,352
122,205,2496
123,125,4
123,128,181
123,138,113
123,139,9
123,143,396
123,146,94
123,158,12
123,163,620
123,171,150
123,173,17
123,176,199
123,180,1310
123,181,3
123,183,11
123,188,86
123,194,104
123,195,698
123,196,2847
123,207,4160
124,128,687
124,143,8
124,148,15
124,150,223
124,153,333
124,162,6
124,168,2
124,172,535
124,180,32
124,181,26
124,183,5
124,191,38
124,192,7
124,195,1544
124,196,1519
124,197,832
125,135,45
125,137,202
125,142,1
125,143,71
125,144,9
125,146,20
125,150,31
125,158,56
125,159,56
125,165,469
125,171,10
125,173,888
125,175,69
125,181,6
125,182,6
125,186,70
125,188,114
126,130,121
126,134,10
126,136,82
126,146,159
126,150,9
126,153,3
126,156,1
126,158,14
126,159,96
126,160,622
126,162,349
126,168,42
126,177,86
126,182,41
126,186,123
126,192,381
