source,target,weight
160,195,104
160,196,451
160,197,56
161,165,668
161,194,139
161,195,115
161,196,118
162,165,247
162,168,54
162,171,17
162,173,16
162,176,476
162,179,27
162,180,40
162,182,5
162,184,85
162,185,10
162,186,89
162,190,224
162,191,8
162,194,1637
162,195,111
162,196,388
162,199,56
163,176,1
163,188,62
163,194,35
163,195,20
163,196,30
163,207,832
164,167,198
164,173,3
164,179,5
164,183,814
164,194,1577
164,195,623
164,196,1245
165,178,1682
165,194,1663
165,195,108
165,196,1003
166,168,133
166,185,343
166,186,430
166,194,35
166,195,10
166,196,1949
167,174,373
167,176,3
167,182,174
167,187,60
167,196,139
167,208,420
168,169,5
168,182,19
168,185,34
168,186,10
168,187,34
168,188,473
168,194,104
168,195,1317
168,196,2940
168,206,832
169,172,204
169,182,19
169,194,35
169,195,133
169,196,2463
169,198,4160
170,195,103
170,196,192
170,206,832
171,176,1
171,186,143
171,188,209
171,195,155
171,196,1157
171,207,832
172,180,438
172,182,25
172,183,56
172,184,254
172,188,754
172,194,104
172,195,1265
172,196,2487
172,199,1664
173,175,29
173,177,8
173,182,30
173,183,267
173,185,804
173,186,152
173,188,18
173,194,35
173,195,53
173,196,192
174,186,17
174,190,1
174,195,35
174,196,277
175,176,1
175,178,201
175,180,2
175,184,149
175,186,40
175,188,41
175,191,20
175,194,35
175,195,707
175,196,30
175,207,832
176,180,1
176,190,56
176,194,1629
176,195,663
176,196,1252
176,207,1664
177,181,438
177,182,25
177,184,136
177,189,89
177,192,7
177,194,1663
177,195,60
177,196,120
178,194,70
178,195,11
178,196,13
178,197,22
179,180,1
179,186,3
179,195,5
179,196,144
179,197,832
180,183,652
180,186,16
180,194,44
180,195,56
180,196,31
180,207,1664
181,182,3
181,188,41
181,192,7
181,195,386
181,196,2618
182,183,320
182,186,4
182,194,90
182,195,79
182,196,191
182,198,20
182,205,4992
183,188,224
183,191,189
183,192,74
183,194,70
183,195,106
183,196,153
184,188,238
184,194,3154
184,195,883
184,196,282
184,205,2496
185,188,75
185,194,3223
185,195,1077
185,196,245
186,188,10
186,192,208
186,194,87
186,195,111
186,196,457
186,197,888
186,202,92
186,216,22
187,194,1663
187,195,208
187,196,1213
187,206,832
188,189,75
188,190,763
188,191,12
188,192,1109
188,194,3258
188,195,729
188,196,5625
189,202,34
190,195,139
190,196,278
191,196,2
191,211,10
191,213,78
192,194,104
192,195,47
192,196,275
194,208,104
194,210,3
194,216,70
195,200,832
195,201,832
195,203,832
195,204,832
195,216,106
196,197,1664
196,203,832
196,204,832
196,208,623
196,209,106
196,213,5
196,216,489
202,205,832
