NodeId,X,Y
418,341.58673,634.8331
419,640.6634,624.1254
420,474.24545,439.17017
421,319.90195,608.34125
422,465.75977,525.7102
423,928.97375,629.86194
424,537.8432,454.98962
425,801.63763,635.7508
426,477.9904,540.9516
427,802.1765,620.2477
428,701.4964,554.5022
429,435.15973,495.0633
430,441.0134,483.1919
431,648.9616,300.5719
432,554.5959,560.6253
433,330.16443,376.19727
434,740.48444,628.8857
435,536.2734,490.4983
436,884.9481,639.6949
437,596.5011,398.91296
438,423.6359,424.76056
439,589.0736,541.8615
440,380.04764,554.52954
441,388.98633,402.41193
442,816.23865,185.45477
443,787.47784,628.70605
444,433.68362,475.92853
445,674.0204,518.20465
446,780.1676,198.27899
447,591.3659,420.99994
448,401.60745,466.943
449,692.5225,457.8676
